airp_iata_code,name,img_url,img_name,owm_city_code,owm_name
OSL,Oslo,https://edinburghairport.s3.amazonaws.com/files/2017/06/fde0a0ea38e32f2bc627ee6fc826d318.jpg,oslo,3143244,Oslo
PMI,Palma,https://edinburghairport.s3.amazonaws.com/files/2017/06/5d8b09772cad8ca3305d82d2926a4a83.jpg,palma,3393269,Palma
PFO,Paphos (Cyprus),https://edinburghairport.s3.amazonaws.com/files/2017/06/e4f3649f701ccba477d3cef0bd5de372.jpg,paphos (cyprus),3393269,Palma
CDG,Paris CDG,https://edinburghairport.s3.amazonaws.com/files/2017/06/94e60a223df1366fd783ef8de6adf2c8.jpg,paris cdg,3393269,Palma
ORY,Paris Orly,https://edinburghairport.s3.amazonaws.com/files/2017/06/9342c28d69a67b3af45844f9e69a02ff.jpg,paris orly,3393269,Palma
PSA,Pisa,https://edinburghairport.s3.amazonaws.com/files/2017/06/bf8a87c001b966fece85099fcc304a85.jpg,pisa,3170647,Pisa
OPO,Porto,https://edinburghairport.s3.amazonaws.com/files/2017/06/a0b433e751e62723c84b50a33a28554c.jpg,porto,3113104,Porto
POZ,Poznan,https://edinburghairport.s3.amazonaws.com/files/2017/06/053069432d06f3a076e2978ceb9709ab.jpg,poznan,3088171,Poznan
PRG,Prague,https://edinburghairport.s3.amazonaws.com/files/2017/06/7394cc659cd6c6f49016bf5959f6d5d1.jpg,prague,4548393,Prague
PVD,Providence (Boston),https://edinburghairport.s3.amazonaws.com/files/2017/05/d58e208c54d62a14269ce31d253bba3a.jpg,providence (boston),4548393,Prague
PUY,Pula,https://edinburghairport.s3.amazonaws.com/files/2017/06/1070ee8068d22f0b9a5845dc0080aa11.jpg,pula,2523675,Pula
REU,Reus,https://edinburghairport.s3.amazonaws.com/files/2017/06/e5d9eaa720b068b6bccb3d4bdbffa374.jpg,reus,3111933,Reus
KEF,Reykjavik (Keflavik),https://edinburghairport.s3.amazonaws.com/files/2017/06/0d5021b74351a34f4ccaaaba0f62ab7c.jpg,reykjavik (keflavik),3111933,Reus
RHO,Rhodes,https://edinburghairport.s3.amazonaws.com/files/2017/06/4f47ca0c5cc63f9ba18c294ce43120d0.jpg,rhodes,2151682,Rhodes
CIA,Rome Ciampino,https://edinburghairport.s3.amazonaws.com/files/2017/06/7afb70650c57299b5a4188ae1adaebf1.jpg,rome ciampino,2151682,Rhodes
SZG,Salzburg,https://edinburghairport.s3.amazonaws.com/files/2017/06/f50d1ae811e3a4a9e2cd505e615eed8c.jpg,salzburg,2842167,Salzburg
SDR,Santander,https://edinburghairport.s3.amazonaws.com/files/2017/06/b7f507a58ce6255295c22d470813ca0b.jpg,santander,1687965,Santander
SVQ,Seville,https://edinburghairport.s3.amazonaws.com/files/2018/01/d1ab154f6dae5740d217aa42a796190c.jpg,seville,5171681,Seville
SNN,Shannon,https://edinburghairport.s3.amazonaws.com/files/2017/06/58b4dc9538e9fc156e433b4a1cf6b10c.jpg,shannon,4445668,Shannon
SOF,Sofia,https://edinburghairport.s3.amazonaws.com/files/2017/08/e68fecc3de2cee53ec493e334064a2b2.jpg,sofia,727011,Sofia
SOU,Southampton,https://edinburghairport.s3.amazonaws.com/files/2017/05/2c4cb37b27f55461742e0eb0f46e0e3b.jpg,southampton,5139030,Southampton
SPU,Split,https://edinburghairport.s3.amazonaws.com/files/2017/06/5b17ed6812f59171245599d203e1ba79.jpg,split,3190261,Split
ARN,Stockholm Arlanda,https://edinburghairport.s3.amazonaws.com/files/2017/06/5ff7e2dc4f34d8ac4b6b0af522caddd7.jpg,stockholm arlanda,3190261,Split
NYO,Stockholm Skavsta,https://edinburghairport.s3.amazonaws.com/files/2018/03/a6d2195fc84a93030dfed2176d57c47a.jpg,stockholm skavsta,3190261,Split
SYY,Stornoway,https://edinburghairport.s3.amazonaws.com/files/2017/06/c064f25d3e77ace3925236ca9e56a135.jpg,stornoway,2636790,Stornoway
STR,Stuttgart,https://edinburghairport.s3.amazonaws.com/files/2017/06/227c254f84a1ad1485e6025a283144bc.jpg,stuttgart,4132625,Stuttgart
LSI,Sumburgh,https://edinburghairport.s3.amazonaws.com/files/2018/07/1680bc082ae1f5deec27e56ab422c9ad.JPG,sumburgh,4132625,Stuttgart
SZZ,Szczecin,https://edinburghairport.s3.amazonaws.com/files/2017/06/da7fe645c79161238c27edd598471153.jpg,szczecin,7531766,Szczecin
TLL,Tallinn,https://edinburghairport.s3.amazonaws.com/files/2018/03/f71725a5db2956497cd10b7645973a99.jpg,tallinn,588409,Tallinn
TLV,Tel Aviv,https://edinburghairport.s3.amazonaws.com/files/2018/03/95bf48380d89497eddcab63137e74cca.jpg,tel aviv,293397,Tel Aviv
TFS,Tenerife South,https://edinburghairport.s3.amazonaws.com/files/2017/06/3a2331713a9781e1d337bf49f7961f3c.jpg,tenerife south,293397,Tel Aviv
SKG,Thessaloniki,https://edinburghairport.s3.amazonaws.com/files/2017/06/23a49d4324c3145a00d491d359eac9f8.jpg,thessaloniki,734077,Thessaloniki
YYZ,Toronto,https://edinburghairport.s3.amazonaws.com/files/2017/06/f36bcd498d3424a67d58e946d356654a.jpg,toronto,5174095,Toronto
TLS,Toulouse,https://edinburghairport.s3.amazonaws.com/files/2017/06/093dc99847cb72192f2b991062dc1163.jpg,toulouse,2972315,Toulouse
TRN,Turin,https://edinburghairport.s3.amazonaws.com/files/2017/06/6014c73bf3b8b7666de19182ef123328.jpg,turin,2972315,Toulouse
VLC,Valencia,https://edinburghairport.s3.amazonaws.com/files/2017/06/7e016943462958402d64518a4fc3639b.jpg,valencia,5496315,Valencia
VCE,Venice,https://edinburghairport.s3.amazonaws.com/files/2017/06/8ef8b70b875eec0aabb12cc30ae1989f.jpg,venice,4251958,Venice
TSF,Venice Treviso,https://edinburghairport.s3.amazonaws.com/files/2017/06/c8f52bcee3272b5346de424270a5284b.jpg,venice treviso,4251958,Venice
VRN,Verona,https://edinburghairport.s3.amazonaws.com/files/2017/06/b527fe931d6d889ae7f91ff60fda6457.jpg,verona,5277142,Verona
VIE,Vienna,https://edinburghairport.s3.amazonaws.com/files/2017/06/0f3c3481d2ae4fc5ce743f94842b66b5.jpg,vienna,4825976,Vienna
VGO,Vigo,https://edinburghairport.s3.amazonaws.com/files/2017/06/a42748ab58d54d6b4f9c311a8e6e8649.jpg,vigo,1679964,Vigo
MI ,Warsaw Modlin,https://edinburghairport.s3.amazonaws.com/files/2017/06/ca9a4fbf327422018449dd1ea818bcbd.jpg,warsaw modlin,1679964,Vigo
IAD,Washington D.C.,https://edinburghairport.s3.amazonaws.com/files/2017/09/96e9e0341a92e6a383e725ccca8ef56a.jpg,washington d.c.,1679964,Vigo
WIC,Wick,https://edinburghairport.s3.amazonaws.com/files/2017/06/b5b7d63fbe84c3d320b0731860d48ae5.jpg,wick,2633985,Wick
WRO,Wroclaw,https://edinburghairport.s3.amazonaws.com/files/2017/06/6c38b998d087651530e379308351c06d.jpg,wroclaw,3081368,Wroclaw
ZTH,Zakynthos (Zante),https://edinburghairport.s3.amazonaws.com/files/2017/06/005898fa167a4c826cc74a5968993e02.jpg,zakynthos (zante),3081368,Wroclaw
ZRH,Zurich,https://edinburghairport.s3.amazonaws.com/files/2017/06/5891abfaa52d938e2ca8986e67b180d8.jpg,zurich,2657896,Zurich
